event_id,lead_id,event_type,metadata
1,101,email_opened,"{}"
2,101,pricing_clicked,"{}"
3,102,form_submitted,"{}"
4,103,email_opened,"{}"
5,103,link_clicked,"{}"
6,104,email_opened,"{}"
7,104,form_submitted,"{}"
8,105,email_opened,"{}"
9,105,pricing_clicked,"{}"
10,106,email_opened,"{}"
11,106,link_clicked,"{}"
12,107,email_opened,"{}"
13,107,form_submitted,"{}"
14,108,email_opened,"{}"
15,108,pricing_clicked,"{}"
16,109,email_opened,"{}"
17,109,link_clicked,"{}"
18,110,email_opened,"{}"
19,110,form_submitted,"{}"
20,111,email_opened,"{}"
21,111,pricing_clicked,"{}"
22,112,email_opened,"{}"
23,112,link_clicked,"{}"
24,113,email_opened,"{}"
25,113,form_submitted,"{}"
26,114,email_opened,"{}"
27,114,pricing_clicked,"{}"
28,115,email_opened,"{}"
29,115,link_clicked,"{}"
30,116,email_opened,"{}"
31,116,form_submitted,"{}"
32,117,email_opened,"{}"
33,117,pricing_clicked,"{}"
34,118,email_opened,"{}"
35,118,link_clicked,"{}"
36,119,email_opened,"{}"
37,119,form_submitted,"{}"
38,120,email_opened,"{}"
39,120,pricing_clicked,"{}"
40,121,email_opened,"{}"
41,121,link_clicked,"{}"
42,122,email_opened,"{}"
43,122,form_submitted,"{}"
44,123,email_opened,"{}"
45,123,pricing_clicked,"{}"
46,124,email_opened,"{}"
47,124,link_clicked,"{}"
48,125,email_opened,"{}"
49,125,form_submitted,"{}"
50,126,email_opened,"{}"
51,126,pricing_clicked,"{}"
52,127,email_opened,"{}"
53,127,link_clicked,"{}"
54,128,email_opened,"{}"
55,128,form_submitted,"{}"
56,129,email_opened,"{}"
57,129,pricing_clicked,"{}"
58,130,email_opened,"{}"
59,130,link_clicked,"{}"
60,131,email_opened,"{}"
61,131,form_submitted,"{}"
62,132,email_opened,"{}"
63,132,pricing_clicked,"{}"
64,133,email_opened,"{}"
65,133,link_clicked,"{}"
66,134,email_opened,"{}"
67,134,form_submitted,"{}"
68,135,email_opened,"{}"
69,135,pricing_clicked,"{}"
70,136,email_opened,"{}"
71,136,link_clicked,"{}"
72,137,email_opened,"{}"
73,137,form_submitted,"{}"
74,138,email_opened,"{}"
75,138,pricing_clicked,"{}"
76,139,email_opened,"{}"
77,139,link_clicked,"{}"
78,140,email_opened,"{}"
79,140,form_submitted,"{}"
80,141,email_opened,"{}"
81,141,pricing_clicked,"{}"
82,142,email_opened,"{}"
83,142,link_clicked,"{}"
84,143,email_opened,"{}"
85,143,form_submitted,"{}"
86,144,email_opened,"{}"
87,144,pricing_clicked,"{}"
88,145,email_opened,"{}"
89,145,link_clicked,"{}"
90,146,email_opened,"{}"
91,146,form_submitted,"{}"
92,147,email_opened,"{}"
93,147,pricing_clicked,"{}"
94,148,email_opened,"{}"
95,148,link_clicked,"{}"
96,149,email_opened,"{}"
97,149,form_submitted,"{}"
98,150,email_opened,"{}"
99,150,pricing_clicked,"{}"
100,151,email_opened,"{}"
